time,Irr,v_wind,T_amb,T_water,P_elec_wind,P_pv,P_req,Q_provided,T_in,T_out,SOC,P_CCreq,P_bat,P_export,P_CC,Q_heat
105300.0,0.0,11.5266980154582,275.910964515552,275.358771612442,332500.0,0.0,341887.0764525027,434869.0962429032,275.358771612442,364.05531545503106,0.7900711176484767,350000.0,-19667.813336365856,350000.0,361596.74362933525,46491.00989520026
106200.0,0.0,9.93219379456133,273.028837240778,273.053069792623,1608295.973853946,0.0,351852.18319594226,445223.29016843723,273.053069792623,364.0576391959657,0.7865590081241257,0.0,1083269.5545048958,183139.3428965474,363109.8604485915,46685.55348624749
107100.0,0.0,9.59550696207529,274.574218224157,274.289374579326,1446129.2796665586,0.0,346508.9471100688,439671.4276498076,274.289374579326,364.05639321870365,0.98,0.0,0.0,1094277.0964706163,362298.5354323176,46581.24026986941
108000.0,0.0,11.0543101246145,271.018955323081,271.445164258465,2225494.1665111925,0.0,358801.45570964005,452443.8967410241,271.445164258465,364.05925968126724,0.98,0.0,0.0,1878985.2194011237,364165.0484553825,46821.220515692046
108900.0,0.0,9.45168158750979,274.043174007921,273.864539206337,1383413.0407420916,0.0,348345.0604374014,441579.23194633203,273.864539206337,364.05682137786033,0.98,0.0,0.0,1024611.5850324515,362577.33364584146,46617.08575446534
109800.0,0.0,9.74415814851635,273.780862015585,273.654689612468,1516581.767415992,0.0,349252.0179567982,442521.60158469423,273.654689612468,364.05703286925404,0.98,0.0,0.0,1168236.7069785907,362715.0474418179,46634.79181394802
110700.0,0.0,9.50975837160856,276.073472325236,275.488777860188,1403862.7358876576,0.0,341325.1971474829,434285.2783835761,275.488777860188,364.0551844316537,0.98,0.0,0.0,1054610.7179308594,361511.4270292511,46480.04061804658
111600.0,0.0,9.70093483357539,274.050371905997,273.870297524798,1495752.2561338579,0.0,348320.17332596594,441553.3731186564,273.870297524798,364.0568155744905,0.98,0.0,0.0,1154427.058986375,362573.5547493516,46616.59989634521
112500.0,0.0,8.9435479794321,275.654580604042,275.153664483234,1168630.1451514491,0.0,342773.53732043854,435790.1689388929,275.153664483234,364.0555221668565,0.98,0.0,0.0,820309.9718254833,361731.34518287797,46508.31580922718
113400.0,0.0,15.1694799303372,272.488785684523,272.621028547619,332500.0,0.0,353719.4398754599,447163.4538080493,272.621028547619,364.05807461737095,0.98,350000.0,-10273.53732043854,350000.0,363393.38751562545,46722.006966294706
